#Cluster WAVELET_00003[points] WAVELET_00003[minatm] WAVELET_00003[maxatm] WAVELET_00003[minfrm] WAVELET_00003[maxfrm] WAVELET_00003[avgval]
      98                  7094                  1247                  1372                 16804                 16991                76.920
      99                  7039                  2342                  2520                 17776                 17915                 1.010
     100                  6953                  4040                  4078                 15539                 16250                 1.010
     101                  6788                  4047                  4091                 35365                 36015                 1.010
     102                  6588                  4119                  4156                 26413                 27092                 1.010
     103                  6161                  3529                  3612                 24278                 24601                 1.010
     104                  6095                  1329                  1377                 16586                 16953               182.830
     105                  6071                  2268                  2345                 32006                 32443                 1.010
     106                  6060                  3534                  3608                 48015                 48366                 1.010
     107                  5968                  4133                  4315                 15042                 15141                 1.010
     108                  5950                  4046                  4090                 39868                 40459                 1.010
     109                  5853                  2041                  2086                 16415                 16675               182.830
     110                  5762                  3656                  3825                 21295                 21405                 1.010
     111                  5688                  2343                  2425                 29683                 30283                 1.010
     112                  5642                  3169                  3253                  8597                  8954                 1.010
     113                  5535                  2343                  2413                 32346                 32875                 1.010
     114                  5317                  2655                  2730                 25008                 25286                 1.010
     115                  5276                  3226                  3255                  2794                  3181                 1.010
     116                  5081                  1950                  2031                 22568                 22889                 1.010
     117                  5073                  3521                  3608                 34884                 35346                 1.010
     118                  4880                  3963                  4058                 14876                 15035                66.026
     119                  4861                  3531                  3608                 44709                 44993                 1.010
     120                  4824                  2447                  2467                 17673                 18220               182.830
     121                  4815                  4100                  4315                 16390                 16532                 1.010
     122                  4772                  2361                  2414                 15191                 15515               182.830
     123                  4732                  3429                  3529                 22116                 22261                 1.010
     124                  4726                  2887                  3040                 16988                 17104               182.830
     125                  4716                  2671                  2729                 38375                 38950                 1.010
     126                  4706                  1242                  1316                 14919                 15165                 1.010
     127                  4645                  2514                  2520                 12940                 13680                 1.010
     128                  4571                  2016                  2112                 23586                 23803                 1.010
     129                  4524                   274                   331                 16797                 16988                76.870
     130                  4504                   284                   329                 22612                 22993                 1.010
     131                  4418                  3358                  3441                 39192                 39579                 1.010
     132                  4372                  4191                  4237                 16386                 16628               182.830
     133                  4369                  2361                  2398                 28062                 28608                 1.010
     134                  4326                   224                   252                 22552                 22994                 1.010
     135                  4233                  3535                  3608                 33931                 34246                 1.010
     136                  4213                  2359                  2413                 26713                 27152                 1.010
     137                  4058                  4255                  4335                 48398                 48672                 1.010
     138                  3914                  3557                  3635                 21762                 22107                 1.010
     139                  3901                  2652                  2753                 30817                 31236                 1.010
     140                  3833                  2489                  2545                 29178                 29656                 1.010
     141                  3831                  2746                  3042                 17255                 17279                 1.010
     142                  3782                  2280                  2339                 34588                 34999                 1.010
     143                  3761                  3205                  3252                  6895                  7144               129.280
     144                  3758                  2279                  2343                 38368                 38696                 1.010
     145                  3743                  2014                  2104                 23903                 24073                 1.010
     146                  3725                  4254                  4379                 43965                 44170                 1.010
     147                  3651                  4047                  4090                 34994                 35336                 1.010
     148                  3624                  2268                  2343                 39165                 39490                 1.010
     149                  3622                  3339                  3457                 16826                 17001                 1.010
