#Frame      Mode1    Mode2
     246  -10.510   -1.722
     247  -10.732   -0.712
     248   -9.607   -1.536
     249  -10.552   -2.874
     250  -10.649   -1.369
     251  -10.376   -2.081
     252  -10.415   -1.292
     253   -9.708   -2.532
     254  -10.785   -2.411
     255  -11.341   -2.054
     256  -11.217   -1.691
     257  -11.754   -1.320
     258  -11.203   -0.565
     259  -11.615   -0.978
     260  -11.932   -0.953
     261  -11.048   -0.052
     262  -10.919   -1.526
     263  -11.101   -0.377
     264  -11.139   -0.412
     265  -11.747   -1.038
     266  -11.579   -0.857
     267  -11.372   -0.570
     268  -10.840   -0.600
     269  -10.796   -1.250
     270  -11.918   -0.284
     271  -13.835    0.133
     272  -12.580    0.512
     273  -12.328    0.867
     274  -12.394    1.429
     275  -13.119    0.568
     276  -13.407   -0.548
     277  -12.544   -0.482
     278  -12.857   -0.293
     279  -12.071    0.745
     280  -12.931   -0.949
     281  -12.479    0.369
     282  -12.990   -0.457
     283  -13.151   -0.031
     284  -12.947    0.824
     285  -12.411    1.379
     286  -11.984    0.451
     287  -12.456    2.348
     288  -11.903    1.593
     289  -11.256    1.574
     290  -12.252    1.710
     291  -13.012    0.210
     292  -11.832    0.860
     293  -12.859    0.787
     294  -12.864   -0.336
     295  -12.460   -0.044
     296  -13.368    0.642
     297  -13.448    0.262
     298  -13.866   -0.163
     299  -13.408   -0.008
     300  -12.892    0.101
     301  -13.321    0.903
     302  -13.414    0.949
     303  -13.342    1.026
     304  -13.411    1.718
     305  -13.331    2.151
     306  -13.148    2.993
     307  -13.623    1.481
     308  -14.366    2.231
     309  -15.329    1.592
     310  -15.560    1.014
     311  -14.904    2.130
     312  -14.781    0.816
     313  -15.580    0.335
     314  -15.254    0.312
     315  -15.455    0.166
     316  -15.407   -0.005
     317  -16.086   -0.568
     318  -15.322    0.081
     319  -15.629   -0.357
     320  -15.446    0.702
     321  -15.258    0.155
     322  -15.575   -0.578
     323  -15.598    0.725
     324  -15.357    0.008
     325  -15.116   -0.094
     326  -15.431    0.542
     327  -15.247   -0.373
     328  -15.610    0.728
     329  -15.353   -0.885
     330  -15.938   -2.144
     331  -15.604   -1.028
     332  -15.300   -0.665
     333  -15.889    0.489
     334  -14.465    0.710
     335  -14.152   -0.143
     336  -15.400   -0.315
     337  -15.330    0.194
     338  -14.907    0.172
     339  -15.392   -0.337
     340  -15.079    0.613
     341  -15.332    0.194
     342  -15.667    0.288
     343  -15.332   -0.290
     344  -15.530    0.272
     345  -14.869    0.121
     346  -15.632    0.614
     347  -15.442    0.758
     348  -15.007    0.407
     349  -14.961    0.639
     350  -14.754   -0.163
     351  -16.007   -2.445
     352  -16.194   -2.362
     353  -15.752   -2.034
     354  -16.237   -1.639
     355  -15.219   -0.592
     356  -15.722   -0.720
     357  -15.205    0.311
     358  -15.996   -1.313
     359  -15.860   -0.748
     360  -16.294   -0.276
     361  -17.032   -0.159
     362  -15.957   -0.713
     363  -15.836   -0.131
     364  -16.581   -1.161
     365  -16.537   -1.752
     366  -15.669    0.644
     367  -15.600   -0.470
     368  -16.201   -2.310
     369  -16.391   -1.952
     370  -16.483   -2.077
     371  -16.946   -1.747
     372  -16.236   -0.824
     373  -15.990   -1.444
     374  -16.114   -1.284
     375  -15.858   -0.734
     376  -15.647   -0.270
     377  -16.312   -1.209
     378  -16.357   -1.334
     379  -15.701   -1.182
     380  -16.463    0.009
     381  -15.989   -0.548
     382  -15.588   -0.627
     383  -16.343   -0.658
     384  -16.484   -0.528
     385  -16.518   -1.061
     386  -16.688   -1.190
     387  -16.890   -0.873
     388  -15.429   -1.477
     389  -16.410   -0.711
     390  -15.499   -0.865
     391  -16.447   -0.420
     392  -16.314   -0.989
     393  -16.306   -0.626
     394  -16.336   -1.413
     395  -16.257    0.323
     396  -16.022   -2.156
     397  -16.094   -0.585
     398  -15.474    0.551
     399  -16.526    0.462
     400  -17.535   -0.705
     401  -16.196   -0.342
     402  -16.135   -0.886
     403  -16.062   -1.033
     404  -15.519   -1.276
     405  -15.789   -0.116
     406  -14.795    0.617
     407  -15.775   -0.310
     408  -16.253   -0.603
     409  -17.050   -1.217
     410  -16.065    0.152
     411  -16.511   -2.346
     412  -16.948   -1.137
     413  -15.748   -1.436
     414  -15.966   -1.555
     415  -15.681   -0.626
     416  -16.575   -1.113
     417  -16.766   -1.230
     418  -16.226   -0.418
     419  -16.182   -0.018
     420  -16.458   -0.091
     421  -16.073   -1.286
     422  -16.916   -0.145
     423  -16.844    0.223
     424  -16.798   -0.864
     425  -16.240   -0.723
     426  -16.417   -0.248
     427  -17.135   -0.805
     428  -16.417    0.190
     429  -16.854   -0.296
     430  -16.668   -1.051
     431  -17.266   -0.916
     432  -16.603    0.981
     433  -16.162    1.318
     434  -16.472   -0.120
     435  -16.698   -0.842
     436  -16.879    0.047
     437  -16.655   -0.991
     438  -16.191   -0.335
     439  -16.878    0.258
     440  -16.478   -0.008
     441  -16.780   -0.566
     442  -16.064    0.260
     443  -16.676   -0.016
     444  -16.499    0.438
     445  -17.022    0.983
     446  -16.351    0.167
     447  -16.417    0.344
     448  -16.684   -0.291
     449  -15.901    0.583
     450  -15.923    1.149
     451  -15.598    0.038
     452  -15.001   -0.287
     453  -15.856   -0.298
     454  -15.641    0.247
     455  -16.273   -0.108
     456  -17.047    0.081
     457  -16.185   -0.167
     458  -16.535   -0.986
     459  -16.127    0.262
     460  -16.133   -0.195
     461  -16.584   -0.765
     462  -15.755    0.500
     463  -15.403    0.756
     464  -15.807   -0.135
     465  -15.487    0.842
     466  -16.793    0.333
     467  -15.534    1.563
     468  -16.046    1.192
     469  -15.770    0.754
     470  -16.137    0.332
     471  -16.184   -0.281
     472  -15.077   -0.320
     473  -15.717   -0.160
     474  -16.255   -0.197
     475  -15.824   -0.828
     476  -15.757   -1.366
     477  -16.020   -1.257
     478  -15.618   -0.074
     479  -16.678   -1.048
     480  -15.057    0.263
     481  -15.806    0.615
     482  -15.483   -0.218
     483  -14.843    0.037
     484  -16.328   -0.633
     485  -15.412   -0.005
     486  -16.306   -1.017
     487  -15.981   -0.699
     488  -15.432   -0.428
     489  -16.244    0.618
     490  -16.390    0.542
     491  -16.233   -0.704
     492  -16.332    0.206
     493  -14.724    0.679
     494  -15.847    0.327
     495  -16.423   -0.194
     496  -16.452   -0.852
     497  -16.188   -0.699
     498  -15.269    0.045
     499  -15.537   -0.959
     500  -16.115   -1.226
     501  -16.484   -0.664
     502  -16.084    0.175
     503  -16.310   -0.473
     504  -17.236   -0.835
     505  -16.535    0.220
     506  -16.863   -0.700
     507  -16.318   -0.463
     508  -16.090    0.438
     509  -15.484   -0.251
     510  -15.779   -0.248
     511  -15.041   -0.298
     512  -15.624   -0.309
     513  -15.693    0.026
     514  -15.696   -0.131
     515  -15.814   -0.321
     516  -15.440   -0.304
     517  -16.492   -0.507
     518  -15.281    0.116
     519  -15.416    0.725
     520  -16.030    1.014
     521  -15.735    1.009
     522  -15.466    1.178
     523  -15.151    1.709
     524  -15.925   -0.174
     525  -14.625    0.577
     526  -15.158   -0.027
     527  -15.616   -0.731
     528  -15.774   -0.142
     529  -15.312    0.882
     530  -15.915   -0.491
     531  -15.690    1.022
     532  -14.977    0.212
     533  -15.507    0.004
     534  -16.107   -0.068
     535  -16.142   -0.317
     536  -15.946    0.622
     537  -15.580    0.293
     538  -15.369   -0.685
     539  -16.025   -1.165
     540  -15.404   -0.448
     541  -15.521    0.857
     542  -15.531    0.797
     543  -15.780    0.691
     544  -15.492    0.609
     545  -16.140   -0.555
     546  -15.822   -0.433
     547  -16.109   -0.634
     548  -15.779   -0.977
     549  -16.271    0.397
     550  -16.395    0.081
     551  -15.738    1.271
     552  -16.297    0.699
     553  -16.217    1.838
     554  -15.050    0.450
     555  -16.078    0.566
     556  -16.303    0.292
     557  -16.450   -0.512
     558  -16.115    0.376
     559  -16.400    0.053
     560  -16.243   -0.242
     561  -16.295   -0.571
     562  -16.273    0.160
     563  -16.101   -0.656
     564  -16.577   -0.110
     565  -16.696   -0.631
     566  -16.490   -0.766
     567  -16.704   -2.112
     568  -16.694   -1.149
     569  -16.304   -1.395
     570  -16.830   -1.968
     571  -16.208   -0.522
     572  -16.188   -0.322
     573  -16.232   -0.950
     574  -15.649    0.297
     575  -16.236   -0.403
     576  -16.651   -0.971
     577  -16.655   -1.048
     578  -15.953   -0.062
     579  -16.086   -1.015
     580  -16.033   -0.656
     581  -15.341   -0.266
     582  -15.769   -0.662
     583  -16.267   -0.204
     584  -16.893   -0.901
     585  -15.944   -0.987
     586  -16.519   -0.768
     587  -16.103   -0.161
     588  -16.034   -0.972
     589  -15.787   -0.012
     590  -16.032   -0.787
     591  -16.493   -0.882
     592  -16.592   -0.890
     593  -16.603   -0.903
     594  -16.301   -1.142
     595  -16.132   -0.251
     596  -16.279    0.141
     597  -16.149   -0.419
     598  -15.887   -1.153
     599  -16.695   -1.572
     600  -16.573   -1.499
     601  -15.489   -1.493
     602  -16.174   -1.956
     603  -15.065   -0.380
     604  -16.444   -2.225
     605  -16.037   -1.620
     606  -15.972   -2.524
     607  -15.595   -2.844
     608  -15.376   -1.832
     609  -15.315   -2.062
     610  -16.719   -1.683
     611  -16.308   -1.128
     612  -17.103   -1.771
     613  -16.469   -1.285
     614  -16.504   -1.140
     615  -16.797   -1.302
     616  -16.412   -1.530
     617  -16.444   -0.989
     618  -16.299   -1.451
     619  -16.291   -1.889
     620  -16.094   -1.031
     621  -16.244    0.713
     622  -16.278   -0.524
     623  -16.271   -0.352
     624  -16.114   -1.262
     625  -14.893   -1.927
     626  -15.238   -0.032
     627  -15.062   -0.416
     628  -15.119   -1.566
     629  -15.794   -1.398
     630  -15.610   -2.001
     631  -15.373   -2.306
     632  -15.209   -2.442
     633  -15.340   -1.762
     634  -15.397   -1.848
     635  -14.995   -2.080
     636  -14.647   -2.069
     637  -14.763   -1.419
     638  -14.943   -1.343
     639  -15.242   -1.763
     640  -15.558   -2.096
     641  -15.442   -1.118
     642  -15.119   -1.694
     643  -16.226   -1.096
     644  -16.024   -1.467
     645  -15.072   -0.864
     646  -15.626   -1.498
     647  -15.522   -1.505
     648  -15.319   -1.891
     649  -15.323   -1.682
     650  -16.107   -1.504
     651  -14.716   -3.225
     652  -15.007   -3.322
     653  -14.700   -1.810
     654  -15.188   -3.261
     655  -16.166   -2.925
     656  -15.791   -2.493
     657  -15.477   -4.222
     658  -15.992   -3.900
     659  -15.047   -2.728
     660  -15.259   -3.080
     661  -15.809   -2.048
     662  -16.149   -2.548
     663  -15.403   -2.518
     664  -15.401   -3.312
     665  -15.338   -2.765
     666  -15.574   -3.652
     667  -16.141   -2.784
     668  -15.800   -3.079
     669  -15.922   -2.553
