#Frame      Mode1    Mode2
     246  -13.847   -1.927
     247  -13.942   -2.656
     248  -14.151   -3.022
     249  -13.855   -3.521
     250  -12.981   -3.424
     251  -13.368   -2.092
     252  -11.934   -2.501
     253  -10.946   -3.187
     254  -11.935   -3.096
     255  -12.442   -4.195
     256  -12.185   -3.762
     257  -12.044   -2.596
     258  -11.492   -2.941
     259  -11.979   -3.037
     260  -12.731   -2.709
     261  -11.317   -1.642
     262  -11.924   -2.370
     263  -11.083   -2.364
     264  -10.954   -1.535
     265  -10.470   -2.128
     266  -10.858   -2.173
     267  -10.829   -1.867
     268  -11.683   -2.212
     269  -11.435   -1.579
     270  -10.378   -1.960
     271  -11.232   -2.340
     272  -11.052   -1.142
     273  -12.645   -1.848
     274  -12.517   -2.962
     275  -12.613   -2.046
     276  -10.723   -2.482
     277  -12.096   -2.096
     278  -12.760   -2.221
     279  -13.419   -1.735
     280  -13.212   -2.783
     281  -13.852   -3.110
     282  -13.872   -2.554
     283  -13.071   -2.018
     284  -12.171   -3.223
     285  -11.565   -3.009
     286  -12.431   -2.479
     287  -11.581   -1.548
     288  -11.421   -2.267
     289  -12.065   -1.537
     290  -12.388   -1.315
     291  -13.221   -1.334
     292  -12.048   -2.395
     293  -12.460   -1.395
     294  -11.825   -2.501
     295  -11.729   -1.832
     296  -12.314   -2.338
     297  -12.761   -1.699
     298  -12.965   -1.856
     299  -12.897   -2.890
     300  -12.792   -2.586
     301  -12.286   -3.326
     302  -13.973   -1.446
     303  -12.977   -2.435
     304  -12.815   -2.012
     305  -13.473   -1.935
     306  -11.524   -1.697
     307  -12.084   -1.765
     308  -12.603   -1.912
     309  -12.869   -2.360
     310  -12.195   -0.833
     311  -12.038   -1.532
     312  -11.098   -2.369
     313  -11.486   -1.314
     314  -11.689   -2.107
     315  -11.952   -2.084
     316  -12.511   -2.578
     317  -12.313   -2.244
     318  -11.894   -2.602
     319  -12.411   -1.351
     320  -11.745   -1.964
     321  -12.021   -2.050
     322  -11.413   -2.238
     323  -12.624   -2.803
     324  -12.957   -2.287
     325  -12.162   -2.475
     326  -12.930   -3.510
     327  -13.185   -2.965
     328  -12.236   -4.376
     329  -11.552   -2.682
     330  -12.297   -4.115
     331  -12.760   -4.065
     332  -11.557   -3.820
     333  -12.249   -3.906
     334  -11.785   -3.933
     335  -11.670   -3.108
     336  -11.352   -1.941
     337  -12.332   -2.914
     338  -11.620   -2.963
     339  -11.795   -3.324
     340  -12.168   -3.641
     341  -12.053   -2.371
     342  -12.699   -2.559
     343  -12.368   -2.535
     344  -13.161   -3.787
