#Frame,ADD-icDd
1,18.5731
2,18.831
3,18.5331
4,18.2727
5,18.25
6,17.5196
7,17.7717
8,17.8317
9,17.6052
10,17.7882
11,18.2262
12,18.4549
13,18.0721
14,18.4894
15,18.5742
16,18.5749
17,18.3966
18,18.4721
19,19.1152
20,19.1613
21,18.4214
22,18.9778
23,18.9257
24,18.4304
25,18.9424
26,18.7107
27,19.1485
28,18.6212
29,19.3697
30,19.0345
31,18.8295
32,18.8117
33,18.8572
34,18.495
35,18.2629
36,18.2134
37,18.8245
38,18.5882
39,19.0485
40,19.4884
41,19.9578
42,19.1219
43,19.6284
44,19.1647
45,19.3214
46,19.5176
47,20.1909
48,19.9019
49,20.1516
50,20.7728
51,20.1489
52,20.3986
53,20.2057
54,20.6382
55,21.1068
56,20.7244
57,20.2754
58,20.4648
59,20.0883
60,19.7031
61,20.4983
62,19.9573
63,19.7125
64,19.8433
65,20.0061
66,21.2322
67,20.935
68,20.7766
69,20.5197
70,20.2547
71,20.3401
72,21.0876
73,20.9062
74,20.9868
75,20.3209
76,20.7101
77,20.3447
78,20.5
79,20.5275
80,20.1503
81,20.1992
82,20.7585
83,21.2308
84,21.586
85,21.5678
86,21.8846
87,21.499000000000002
88,21.294
89,21.274
90,21.3518
91,22.0451
92,20.8314
93,21.2239
94,20.8146
95,21.7567
96,21.2793
97,21.3975
98,21.9092
99,21.4736
100,20.5422
101,20.9852
102,21.0822
103,21.1779
104,20.8335
105,20.3938
106,20.8566
107,20.6741
108,20.7433
109,20.6248
110,20.6188
111,20.604
112,21.0858
113,21.6518
114,21.3711
115,21.8613
116,21.8643
117,21.3396
118,21.0619
119,21.1511
120,20.6001
121,21.378
122,21.1247
123,21.1263
124,20.843000000000004
125,20.7926
126,20.9382
127,21.3007
128,21.3146
129,21.7808
130,22.1295
131,21.3468
132,21.0744
133,21.1262
134,21.5761
135,21.2097
136,21.5769
137,21.1279
138,21.6166
139,21.2415
140,21.272
141,20.7665
142,21.1983
143,20.8883
144,21.4678
145,20.7325
146,21.5703
147,21.515
148,22.1469
149,22.1421
150,22.325
151,21.8408
152,20.9792
153,21.1988
154,21.6761
155,20.9968
156,21.3436
157,21.1157
158,20.7864
159,20.7481
160,20.5093
161,20.497
162,20.0931
163,20.2253
164,20.5386
165,19.8395
166,20.5151
167,19.4363
168,19.8095
169,19.8605
170,20.1554
171,19.5364
172,20.3777
173,20.1285
174,20.1614
175,20.2141
176,20.0696
177,20.5034
178,19.561
179,19.4925
180,20.1683
181,20.219
182,19.83
183,19.8782
184,19.4967
185,19.3874
186,19.7045
187,19.703
188,19.8257
189,20.314
190,19.8657
191,20.4967
192,20.5016
193,21.136
194,20.7091
195,20.594
196,21.086
197,21.1538
198,20.9644
199,21.0009
200,20.2113
201,20.805
202,20.6207
203,20.5776
204,21.1646
205,21.4974
206,21.7568
207,21.0812
208,20.9047
209,21.3471
210,22.2175
211,22.025
212,22.9254
213,22.4853
214,22.148000000000003
215,22.7715
216,22.0223
217,21.4521
218,21.7444
219,22.1422
220,22.0765
221,22.0766
222,21.7356
223,22.2658
224,21.6675
225,21.4214
226,21.7642
227,20.886
228,20.6032
229,21.1406
230,20.7366
231,20.3959
232,19.3613
233,19.4817
234,19.3459
235,19.516
236,18.8965
237,19.6666
238,20.0227
239,19.7466
240,19.5311
241,19.162
242,19.6218
243,19.9419
244,20.0388
245,19.7134
246,20.6157
247,20.0495
248,21.1513
249,20.4084
250,20.7014
251,19.9822
252,19.9949
253,20.3135
254,20.6525
255,20.6287
256,19.6881
257,19.2056
258,19.1016
259,19.6628
260,20.3448
261,20.304000000000002
262,19.6328
263,20.3308
264,19.4562
265,19.59
266,19.4444
267,18.7932
268,19.2066
269,20.1233
270,20.1845
271,20.1079
272,20.283
273,20.4458
274,20.5037
275,20.5237
276,20.3519
277,20.0958
278,20.9979
279,21.3222
280,21.4949
281,21.3707
282,21.9331
283,21.8166
284,21.7516
285,21.9711
286,22.3199
287,22.3505
288,22.0433
289,21.921999999999997
290,22.0145
291,22.1804
292,21.9879
293,22.2044
294,22.3231
295,22.6115
296,22.6375
297,23.1171
298,22.3605
299,23.0704
300,23.5579
301,23.1169
302,23.043000000000003
303,22.8525
304,22.4599
305,22.5745
306,23.1158
307,22.6445
308,22.3508
309,23.5773
310,23.4055
311,22.6185
312,23.0266
313,22.7488
314,23.2706
315,24.0459
316,23.4839
317,23.8831
318,23.6207
319,23.1485
320,24.301
321,25.7658
322,25.006999999999998
323,25.3792
324,25.0461
325,25.0477
326,25.3107
327,25.2861
328,25.2396
329,24.9128
330,24.4593
331,25.1331
332,24.3502
333,24.0832
334,24.8155
335,24.4183
336,24.5947
337,24.8546
338,24.4462
339,25.2229
340,25.0522
341,24.7665
342,24.7643
343,24.456
344,24.8909
345,24.5207
346,25.1781
347,25.0528
348,25.4789
349,25.0501
350,25.1651
351,24.3557
352,24.7044
353,24.4805
354,24.8697
355,24.5605
356,24.9547
357,24.6424
358,24.924
359,24.802
360,24.0622
361,24.6213
362,25.051
363,24.798000000000002
364,24.4818
365,24.3576
366,24.5723
367,23.7559
368,24.7933
369,24.8179
370,24.1855
371,23.9627
372,24.1502
373,23.4251
374,23.818
375,24.8648
376,25.6112
377,25.1934
378,24.3276
379,24.5838
380,24.8791
381,25.5217
382,24.7967
383,25.3128
384,25.5301
385,25.4933
386,25.1955
387,25.4736
388,25.3449
389,25.9896
390,26.7037
391,26.9186
392,26.5034
393,26.1177
394,25.0597
395,25.9743
396,26.3435
397,25.4204
398,26.314
399,25.9727
400,25.823
401,26.072
402,26.011
403,25.914
404,27.4991
405,27.0515
406,26.8059
407,26.3248
408,26.6693
409,26.7746
410,26.6223
411,26.7114
412,25.7031
413,26.2504
414,25.8853
415,26.3034
416,26.5114
417,26.3754
418,26.6132
419,27.1679
420,27.3827
421,27.3797
422,28.0648
423,27.5479
424,27.5938
425,27.4812
426,27.7005
427,27.7344
428,28.5557
429,27.4417
430,27.9288
431,27.8855
432,27.1833
433,27.8976
434,27.6125
435,27.4337
436,27.3601
437,28.695
438,27.5925
439,26.691
440,26.7237
441,27.1693
442,27.2459
443,26.7415
444,26.2174
445,26.4857
446,25.9312
