#Frame	ca
799	3
800	3
801	5
802	4
803	3
804	5
805	5
806	5
807	5
808	5
809	4
810	5
811	5
812	7
813	5
814	5
815	6
816	5
817	5
818	5
819	4
820	5
821	5
822	3
823	6
824	7
825	4
826	6
827	5
828	5
829	6
830	6
831	4
832	5
833	7
834	6
835	7
836	8
837	5
838	7
839	5
840	5
841	6
842	5
843	3
844	3
845	8
846	6
847	5
848	6
849	6
850	6
851	6
852	6
853	7
854	6
855	6
856	9
857	7
858	8
859	7
860	8
861	7
862	6
863	7
864	6
865	6
866	5
867	4
868	6
869	6
870	5
871	8
872	6
873	7
874	7
875	7
876	6
877	6
878	5
879	5
880	6
881	5
882	6
883	6
884	4
885	6
886	7
887	6
888	5
889	6
890	6
891	6
892	6
893	5
894	7
895	6
896	7
897	8
898	6
899	7
900	5
901	5
902	6
903	5
904	6
905	6
906	6
907	7
908	6
909	4
910	7
911	6
912	6
913	6
914	7
915	6
916	7
917	6
918	7
919	5
920	5
921	5
922	7
923	7
924	8
925	8
926	7
927	7
928	8
929	6
930	6
931	6
932	4
933	6
934	8
935	7
936	6
937	8
938	6
939	5
940	6
941	5
942	5
943	8
944	6
945	7
946	6
947	6
948	5
949	5
950	7
951	6
952	5
953	5
954	6
955	7
956	7
957	5
958	5
959	7
960	8
961	8
962	6
963	6
964	7
965	6
966	4
967	8
968	7
969	5
970	5
971	9
972	6
973	5
974	5
975	7
976	4
977	5
978	7
979	6
980	7
981	6
982	7
983	6
984	7
985	6
986	7
987	6
988	6
989	5
990	7
991	4
992	7
993	7
994	8
995	6
996	6
997	6
998	8
999	7
1000	6
1001	5
1002	6
1003	7
1004	5
1005	6
1006	6
1007	6
1008	6
1009	7
1010	6
1011	5
1012	6
1013	6
1014	5
1015	5
1016	8
1017	5
1018	8
1019	6
1020	6
1021	6
1022	6
1023	5
1024	6
1025	6
1026	6
1027	6
1028	5
1029	6
1030	6
1031	6
1032	5
1033	5
1034	6
1035	5
1036	6
1037	6
1038	5
1039	6
1040	5
1041	6
1042	6
1043	6
1044	6
1045	6
1046	7
1047	6
1048	8
1049	7
1050	5
1051	5
1052	7
1053	5
1054	6
1055	6
1056	6
1057	7
1058	5
1059	6
1060	8
1061	6
1062	7
1063	6
1064	6
1065	7
1066	8
1067	7
1068	6
1069	5
1070	6
1071	6
1072	5
1073	6
1074	6
1075	5
1076	6
1077	6
1078	8
1079	6
1080	5
1081	6
1082	5
1083	6
1084	7
1085	6
1086	6
1087	6
1088	7
1089	6
1090	5
1091	7
1092	6
1093	6
1094	5
1095	7
1096	6
1097	7
1098	7
1099	6
1100	6
1101	6
1102	6
1103	6
1104	5
1105	7
1106	5
1107	6
1108	5
1109	6
1110	6
1111	6
1112	6
1113	6
1114	5
1115	6
1116	8
1117	6
1118	5
1119	6
1120	6
1121	5
1122	5
1123	6
1124	3
1125	6
1126	6
1127	5
1128	6
1129	6
1130	6
1131	7
1132	5
1133	7
1134	6
1135	5
1136	8
1137	8
1138	7
1139	6
1140	8
1141	4
1142	5
1143	6
1144	7
1145	5
1146	5
1147	6
1148	6
1149	7
1150	6
1151	5
1152	8
1153	6
1154	7
1155	6
1156	6
1157	6
1158	6
1159	4
1160	6
1161	6
1162	6
1163	5
1164	5
1165	7
1166	6
1167	5
1168	6
1169	7
1170	6
1171	7
1172	6
1173	7
